anno,omogeneita_interna,similarita_anno_prev
1974,0.3970822,
1975,0.39867726,0.9843204021453857
1976,0.42709288,0.981860339641571
1977,0.42760095,0.9854863882064819
1978,0.44442582,0.9889870882034302
1979,0.468934,0.984743595123291
1980,0.44653592,0.9862774014472961
1981,0.42943013,0.9882097244262695
1982,0.4350216,0.9875392913818359
1983,0.43013245,0.9868417978286743
1984,0.43717867,0.987706184387207
1985,0.44590548,0.9875909090042114
1986,0.43825206,0.988774299621582
1987,0.45970568,0.9897799491882324
1988,0.49364772,0.9854825139045715
1989,0.47424853,0.9910545349121094
1990,0.4708419,0.990382194519043
1991,0.44069818,0.9840291738510132
1992,0.4569836,0.9862958192825317
1993,0.44420937,0.9867573380470276
1994,0.45080256,0.9905179142951965
1995,0.4507084,0.9900773763656616
1996,0.4652174,0.990320086479187
1997,0.46675876,0.9894056916236877
1998,0.48519096,0.990393877029419
1999,0.47618282,0.985027551651001
2000,0.48166314,0.9917595386505127
2001,0.47601897,0.9904922246932983
2002,0.48913085,0.991769552230835
2003,0.49043334,0.9919628500938416
2004,0.496644,0.9925508499145508
2005,0.49955487,0.9919782876968384
2006,0.49774927,0.9929746985435486
2007,0.51565737,0.9928563833236694
2008,0.49448282,0.9916144609451294
2009,0.4850979,0.9913519620895386
2010,0.48893765,0.9910685420036316
2011,0.50296766,0.9883444309234619
2012,0.47790948,0.9875718951225281
2013,0.46728948,0.9914472103118896
2014,0.47540832,0.98810875415802
2015,0.49505746,0.9877272844314575
2016,0.49989316,0.9894922971725464
2017,0.52791524,0.9872592091560364
2018,0.5288977,0.9921605587005615
2019,0.5133634,0.9921560287475586
2020,0.49116457,0.9911544322967529
2021,0.5170794,0.9904523491859436
2022,0.4837197,0.988866925239563
2023,0.45955274,0.989841103553772
2024,0.49638844,0.9917832016944885
